time,open,high,low,close,PlotCandle (Ouverture),PlotCandle (Haut,PlotCandle (Bas),PlotCandle (Fermer),Volume
1763886600,129.169,129.313,128.755,128.879,NaN,129.313,128.755,128.879,15818.3
1763887500,128.879,129.734,128.879,129.621,NaN,129.734,128.879,129.621,22711
1763888400,129.621,129.8,129.391,129.74,NaN,129.8,129.391,129.74,18760.6
1763889300,129.74,129.801,129.473,129.608,NaN,129.801,129.473,129.608,18897.8
1763890200,129.608,130.882,129.595,130.391,NaN,130.882,129.595,130.391,191851.4
1763891100,130.391,130.428,129.881,130.026,NaN,130.428,129.881,130.026,47658.8
1763892000,130.026,130.148,129.701,129.822,NaN,130.148,129.701,129.822,15610.2
1763892900,129.822,130.065,129.481,129.747,NaN,130.065,129.481,129.747,18124.2
1763893800,129.747,129.845,129.35,129.809,NaN,129.845,129.35,129.809,22056.8
1763894700,129.809,130.078,129.66,129.879,NaN,130.078,129.66,129.879,15717.4
1763895600,129.879,129.884,129.18,129.293,NaN,129.884,129.18,129.293,21995.3
1763896500,129.293,129.354,128.927,129.271,NaN,129.354,128.927,129.255,14656.3
